transaction_id,expense_date,employee_id,employee_name,department,vendor,expense_category,amount,branch_location,original_fraud,is_anomaly,anomaly_type,risk_score,Unnamed: 0
TXN00001,2019-08-20 01:48:09,EMP0029,Susan Mills,Bilgi Teknolojileri,Strosin-Cruickshank,Ofis Malzemesi,89.24,"Louisville, KY",0,False,,0.0,542259
TXN00002,2019-11-05 20:18:59,EMP0292,Alan Colon,Eğitim,Langworth Llc,Diğer,11.95,"Riverton, WY",0,False,,0.0,725464
TXN00003,2020-04-21 15:07:04,EMP0154,Allison Ayala,Genel,Schuppe Llc,Etkinlik & Organizasyon,36.32,"Fort Myers, FL",0,False,,0.0,1144258
TXN00004,2020-05-17 16:05:19,EMP0566,Amanda Vance,Sağlık,"Yost, Schamberger And Windler",Diğer,26.28,"Sterling City, TX",0,False,,0.0,1201536
TXN00005,2019-05-12 09:15:36,EMP0015,Kurt Peters,Bilgi Teknolojileri,"Labadie, Treutel And Bode",Yazılım & Lisans,94.9,"Kissee Mills, MO",0,False,,0.0,266119
TXN00006,2019-04-07 20:20:38,EMP0460,James Cooper,Operasyon & Lojistik,"Boehm, Block And Jakubowski",Diğer,5.49,"Huntsville, AL",0,False,,0.0,188657
TXN00007,2019-07-15 07:10:58,EMP0112,Jacqueline Allen,Finans & Muhasebe,Jast-Mcdermott,Ofis Malzemesi,9.88,"Greenwood, IN",0,False,,0.0,440314
TXN00008,2019-04-13 16:26:41,EMP0741,Tami Forbes,Genel,Beier And Sons,Ekipman & Donanım,16.09,"Barnstable, MA",0,False,,0.0,200911
TXN00009,2020-05-16 18:36:19,EMP0258,Melissa Flores,Sağlık,Connelly Plc,Temsil & Ağırlama,167.12,"Huntington Beach, CA",0,False,,0.0,1199403
TXN00010,2020-01-08 07:44:26,EMP0760,Michelle Johnston,Bilgi Teknolojileri,"Osinski, Ledner And Leuschke",Ofis Malzemesi,194.88,"Roma, TX",0,False,,0.0,937168
TXN00011,2019-02-02 23:12:40,EMP0549,Janet Turner,Bilgi Teknolojileri,Mohr Inc,Ofis Malzemesi,831.73,"Shields, ND",1,False,,0.0,55417
TXN00012,2020-02-05 00:50:34,EMP0097,Maureen Garza,Genel,"Ferry, Reichel And Dubuque",Ofis Malzemesi,86.49,"Saint Louis, MO",0,False,,0.0,984977
TXN00013,2020-06-01 20:34:39,EMP0130,Carrie Washington,Genel,"Runte, Green And Emard",Sağlık & Spor,51.47,"Kingsford Heights, IN",0,False,,0.0,1242290
TXN00014,2019-02-04 15:29:26,EMP0899,Dawn Stephens,Genel,Schoen-Quigley,Diğer,5.77,"Oran, IA",0,False,,0.0,58846
TXN00015,2020-05-16 12:06:02,EMP0260,Cody Miller,Bilgi Teknolojileri,Reilly And Sons,Sağlık & Spor,9.93,"Mooresville, NC",0,False,,0.0,1198779
TXN00016,2020-06-20 21:30:40,EMP0948,Charles Moreno,Genel,Bashirian Group,Yazılım & Lisans,5.06,"Key West, FL",0,False,,0.0,1294980
TXN00017,2019-05-18 21:46:34,EMP0021,Melissa Brown,Yönetim,"Reinger, Weissnat And Strosin",Temsil & Ağırlama,36.83,"Washington, DC",0,False,,0.0,280558
TXN00018,2019-05-01 15:25:24,EMP0254,Patricia Gonzalez,Satış & Pazarlama,"Streich, Rolfson And Wilderman",Diğer,28.17,"Stephensport, KY",0,False,,0.0,242347
TXN00019,2019-12-16 12:17:11,EMP0940,Robert Williams,Bilgi Teknolojileri,Thiel Plc,Diğer,8.12,"Bay City, MI",0,False,,0.0,855783
TXN00020,2019-02-15 01:16:32,EMP0783,Taylor Khan,Hukuk & Uyum,Pouros-Haag,Ofis Malzemesi,5.5,"North Washington, PA",0,False,,0.0,76760
TXN00021,2020-03-17 22:11:39,EMP0864,Ashley Whitehead,Bilgi Teknolojileri,Kautzer And Sons,Diğer,21.54,"Cowlesville, NY",0,False,,0.0,1065591
TXN00022,2019-11-04 21:27:29,EMP0513,Jason Singh,Satış & Pazarlama,Lynch-Wisozk,Ekipman & Donanım,194.25,"Murrayville, IL",0,False,,0.0,723862
TXN00023,2019-09-26 12:11:20,EMP0421,Judy Hogan,Satış & Pazarlama,Frami Group,Etkinlik & Organizasyon,38.3,"Brooklyn, NY",0,False,,0.0,632662
TXN00024,2019-03-08 02:36:54,EMP0498,Robert Haynes,Bilgi Teknolojileri,Smitham-Boehm,Ofis Malzemesi,54.86,"Johns Island, SC",0,False,,0.0,118351
TXN00025,2019-08-04 23:50:55,EMP0669,Kevin Elliott,Eğitim,Kassulke Plc,Yazılım & Lisans,966.41,"Newark Valley, NY",1,False,,0.0,498676
TXN00026,2019-01-08 19:06:13,EMP0407,Juan Sherman,Genel,Lubowitz-Walter,Diğer,21.4,"San Antonio, TX",0,False,,0.0,13827
TXN00027,2019-01-01 23:33:01,EMP0917,Katherine Tucker,Bilgi Teknolojileri,Beier And Sons,Ekipman & Donanım,173.49,"Lakeland, FL",0,False,,0.0,2362
TXN00028,2019-06-17 23:04:37,EMP0934,Cassandra Sanders,Ar-Ge,Quitzon-Goyette,Ekipman & Donanım,18.17,"Paauilo, HI",0,False,,0.0,364513
TXN00029,2020-02-01 01:32:21,EMP0636,Kyle Park,Genel,Metz-Boehm,Ofis Malzemesi,4.95,"Mount Perry, OH",0,False,,0.0,977160
TXN00030,2020-03-30 03:32:33,EMP0128,Daniel Boyd,Genel,Kiehn-Emmerich,Ofis Malzemesi,110.74,"Egan, LA",0,False,,0.0,1091828
TXN00031,2020-04-04 21:42:45,EMP0281,Christopher Sheppard,Sağlık,"Cronin, Kshlerin And Weber",Sağlık & Spor,74.44,"Bristow, IN",0,False,,0.0,1104427
TXN00032,2019-08-16 17:05:14,EMP0113,Christopher Johnson,Genel,Terry Ltd,Ekipman & Donanım,79.39,"Greenville, OH",0,False,,0.0,530233
TXN00033,2019-11-04 20:15:11,EMP0507,Christie Mendoza,Bilgi Teknolojileri,Frami Group,Etkinlik & Organizasyon,36.15,"Monitor, WA",0,False,,0.0,723691
TXN00034,2020-02-08 16:22:20,EMP0120,Vincent Mueller,Bilgi Teknolojileri,Swift Plc,Diğer,55.4,"Dallas, TX",0,False,,0.0,990185
TXN00035,2019-08-18 23:12:11,EMP0811,Ashley Whitney,Bilgi Teknolojileri,"Mueller, Gerhold And Mueller",Sağlık & Spor,77.51,"Jones, AL",0,False,,0.0,538248
TXN00036,2020-03-16 20:45:08,EMP0150,Curtis Young,Genel,"O'Connell, Botsford And Hand",Ekipman & Donanım,67.49,"Falconer, NY",0,False,,0.0,1062239
TXN00037,2020-05-31 19:34:34,EMP0711,Karen Warren,Eğitim,Kovacek Ltd,Seyahat,1.18,"Hahira, GA",0,False,,0.0,1238238
TXN00038,2020-02-19 14:59:45,EMP0674,Nicholas Mcmahon,Bilgi Teknolojileri,Renner Ltd,Ekipman & Donanım,17.74,"Heiskell, TN",0,False,,0.0,1009437
TXN00039,2020-05-17 04:23:18,EMP0050,Stephen Lopez,Bilgi Teknolojileri,Gislason Group,Diğer,36.04,"Olmsted, IL",0,False,,0.0,1200317
TXN00040,2019-04-14 22:27:20,EMP0450,Frank Anderson,Ar-Ge,Lynch-Wisozk,Ekipman & Donanım,1.24,"Naples, FL",0,False,,0.0,204775
TXN00041,2020-01-16 19:15:30,EMP0743,Meredith Campbell,Ar-Ge,Bartoletti And Sons,Diğer,40.92,"Hedrick, IA",0,False,,0.0,951332
TXN00042,2019-06-01 01:34:20,EMP0741,Tami Forbes,Genel,"Streich, Hansen And Veum",Ulaşım,59.26,"Barnstable, MA",0,False,,0.0,314122
TXN00043,2019-08-25 23:12:06,EMP0375,Billy Gallagher,Genel,Lubowitz-Walter,Diğer,149.73,"Greenwich, NJ",0,False,,0.0,557943
TXN00044,2019-05-21 05:03:31,EMP0335,Christopher Gomez,Satış & Pazarlama,Schmeler Inc,Diğer,5.13,"Tickfaw, LA",0,False,,0.0,287402
TXN00045,2019-12-19 00:43:01,EMP0634,Melinda Gutierrez,Genel,Kling Inc,Ulaşım,59.59,"Eureka, IL",0,False,,0.0,865718
TXN00046,2019-09-28 02:56:12,EMP0195,Greg Villarreal,Genel,"Labadie, Treutel And Bode",Yazılım & Lisans,81.44,"Schaefferstown, PA",0,False,,0.0,635927
TXN00047,2019-01-05 22:05:50,EMP0182,Helen Campbell,Genel,"Gottlieb, Considine And Schultz",Yazılım & Lisans,1177.79,"Browning, MO",1,False,,0.0,7509
TXN00048,2019-12-06 17:56:08,EMP0208,Morgan Smith,Genel,Dickinson Ltd,Diğer,54.7,"Grover, NC",0,False,,0.0,808787
TXN00049,2019-06-20 22:15:15,EMP0400,Jennifer Scott,Bilgi Teknolojileri,Pacocha-Bauch,Ofis Malzemesi,872.27,"Randolph, OH",1,False,,0.0,370620
TXN00050,2019-01-26 06:40:03,EMP0197,Linda Sanchez,İnsan Kaynakları,"Rippin, Kub And Mann",Diğer,132.12,"Jermyn, PA",0,False,,0.0,42344
TXN00051,2019-03-16 05:43:23,EMP0343,Jeremy Moore,Sağlık,Hudson-Ratke,Ofis Malzemesi,91.28,"Lubbock, TX",0,False,,0.0,136411
TXN00052,2019-09-01 11:04:18,EMP0179,Lisa Lin,Danışmanlık,"Schaefer, Maggio And Daugherty",Ulaşım,58.95,"Lomax, IL",0,False,,0.0,575447
TXN00053,2019-03-11 06:31:09,EMP0811,Ashley Whitney,Bilgi Teknolojileri,Heller-Langosh,Ulaşım,72.19,"Jones, AL",0,False,,0.0,126678
TXN00054,2020-03-19 07:59:11,EMP0865,Melissa Meza,Genel,Lockman Ltd,Ofis Malzemesi,200.8,"Loxahatchee, FL",0,False,,0.0,1067874
TXN00055,2020-06-09 01:24:25,EMP0613,Derrick Flores,Bilgi Teknolojileri,Kerluke Inc,Diğer,6.97,"Oakland, TN",0,False,,0.0,1263127
TXN00056,2019-12-27 10:52:58,EMP0915,Scott Edwards,Bilgi Teknolojileri,Kuhn Llc,Ofis Malzemesi,1.77,"Pembroke, NC",0,False,,0.0,901672
TXN00057,2020-03-01 18:31:43,EMP0289,Joseph Wagner,Sağlık,Waelchi-Wolf,Diğer,36.9,"North Judson, IN",0,False,,0.0,1026792
TXN00058,2019-12-08 07:36:59,EMP0880,Monique Martin,Bilgi Teknolojileri,Ledner-Pfannerstill,Ulaşım,65.02,"Ratcliff, TX",0,False,,0.0,816785
TXN00059,2019-08-12 00:35:52,EMP0320,Joanna Hudson,Danışmanlık,Collier Inc,Ofis Malzemesi,44.41,"Sebring, FL",0,False,,0.0,518640
TXN00060,2019-05-02 08:00:41,EMP0108,Joseph Nixon,Genel,"Schaefer, Maggio And Daugherty",Ulaşım,82.49,"Tyaskin, MD",0,False,,0.0,243498
TXN00061,2020-02-09 17:39:29,EMP0382,Nathan Martinez,Bilgi Teknolojileri,Stiedemann Ltd,Temsil & Ağırlama,45.73,"Oconto Falls, WI",0,False,,0.0,992557
TXN00062,2019-11-11 10:42:58,EMP0826,Lisa Mendez,Ar-Ge,"Schumm, Bauch And Ondricka",Ofis Malzemesi,347.23,"Lahoma, OK",1,False,,0.0,738033
TXN00063,2020-01-02 10:37:38,EMP0468,William Cannon,Satış & Pazarlama,Jacobi And Sons,Ofis Malzemesi,7.99,"Union, WV",0,False,,0.0,926599
TXN00064,2019-05-30 16:18:39,EMP0457,Randy Murphy,Bilgi Teknolojileri,Jewess Llc,Ofis Malzemesi,2.55,"Ballwin, MO",0,False,,0.0,310664
TXN00065,2019-03-01 10:10:18,EMP0367,Roberta Mccarthy,Genel,Parisian And Sons,Ulaşım,43.28,"Plymouth, CT",0,False,,0.0,103033
TXN00066,2020-02-04 02:01:01,EMP0884,Valerie Clark,Bilgi Teknolojileri,"Lind, Huel And Mcclure",Ulaşım,52.34,"Lowell, OR",0,False,,0.0,983883
TXN00067,2019-03-24 16:00:13,EMP0807,Maria Roy,Genel,Schmeler-Howe,Diğer,23.43,"Sheffield, MA",0,False,,0.0,156232
TXN00068,2019-06-01 06:34:26,EMP0243,Mary Schmidt,Ar-Ge,"Goyette, Howell And Collier",Ofis Malzemesi,6.27,"New York City, NY",0,False,,0.0,314659
